站点ID,站点名,所属线路,运营状态
1225,虹漕路,12号线,开启
1226,桂林公园,12号线,开启
1227,漕宝路,12号线,开启
1228,龙漕路,12号线,开启
1229,龙华,12号线,开启
1230,龙华中路,12号线,开启
1231,大木桥路,12号线,开启
1232,嘉善路,12号线,开启
1233,陕西南路,12号线,开启
1234,南京西路,12号线,开启
1235,汉中路,12号线,开启
1236,曲阜路,12号线,开启
1237,天潼路,12号线,开启
1238,国际客运中心,12号线,开启
1239,提篮桥,12号线,开启
1240,大连路,12号线,开启
1241,江浦公园,12号线,开启
1242,宁国路,12号线,开启
1243,隆昌路,12号线,开启
1244,爱国路,12号线,开启
1245,复兴岛,12号线,开启
1246,东陆路,12号线,开启
1247,巨峰路,12号线,开启
1248,杨高北路,12号线,开启
1249,金京路,12号线,开启
1250,申江路,12号线,开启
1251,金海路,12号线,开启
1321,金运路,13号线,开启
1322,金沙江西路,13号线,开启
1323,丰庄,13号线,开启
1324,祁连山南路,13号线,开启
1325,真北路,13号线,开启
1326,大渡河路,13号线,开启
1327,金沙江路,13号线,开启
1328,隆德路,13号线,开启
1329,武宁路,13号线,开启
1330,长寿路,13号线,开启
1331,江宁路,13号线,开启
1332,汉中路,13号线,开启
1333,自然博物馆,13号线,开启
1334,南京西路,13号线,开启
1335,淮海中路,13号线,开启
1336,一大会址·新天地,13号线,开启
1337,马当路,13号线,开启
1338,世博会博物馆,13号线,开启
1339,世博大道,13号线,开启
1340,长清路,13号线,开启
1341,成山路,13号线,开启
1342,东明路,13号线,开启
1343,华鹏路 ,13号线,开启
1344,下南路,13号线,开启
1345,北蔡,13号线,开启
1346,陈春路 ,13号线,开启
1347,莲溪路,13号线,开启
1348,华夏中路,13号线,开启
1349,中科路,13号线,开启
1350,学林路 ,13号线,开启
1351,张江路,13号线,开启
1421,封浜,14号线,开启
1422,乐秀路,14号线,开启
1423,临洮路,14号线,开启
1424,嘉怡路,14号线,开启
1425,定边路,14号线,开启
1426,真新新村,14号线,开启
1427,真光路,14号线,开启
1428,铜川路,14号线,开启
1429,真如,14号线,开启
1430,中宁路,14号线,开启
1431,曹杨路,14号线,开启
1432,武宁路,14号线,开启
1433,武定路,14号线,开启
1434,静安寺,14号线,开启
1435,一大会址·黄陂南路,14号线,开启
1436,大世界,14号线,开启
1437,豫园,14号线,开启
1438,陆家嘴,14号线,开启
1439,浦东南路,14号线,开启
1440,浦东大道,14号线,开启
1441,源深路,14号线,开启
1442,昌邑路,14号线,开启
1443,歇浦路,14号线,开启
1445,云山路,14号线,开启
1446,蓝天路,14号线,开启
1447,黄杨路,14号线,开启
1448,云顺路,14号线,开启
1449,浦东足球场,14号线,开启
1450,金粤路,14号线,开启
1451,桂桥路,14号线,开启
1521,紫竹高新区,15号线,开启
1522,永德路,15号线,开启
1523,元江路,15号线,开启
1524,双柏路,15号线,开启
1525,曙建路,15号线,开启
1526,景西路,15号线,开启
1527,虹梅南路,15号线,开启
1528,景洪路,15号线,开启
1529,朱梅路,15号线,开启
1530,罗秀路,15号线,开启
1531,华东理工大学,15号线,开启
1532,上海南站,15号线,开启
1533,桂林公园,15号线,开启
1534,桂林路,15号线,开启
1535,吴中路,15号线,开启
1536,姚虹路,15号线,开启
1537,红宝石路,15号线,开启
1538,娄山关路,15号线,开启
1539,长风公园,15号线,开启
1540,大渡河路,15号线,开启
1541,梅岭北路,15号线,开启
1542,铜川路,15号线,开启
1543,上海西站,15号线,开启
1544,武威东路,15号线,开启
1545,古浪路,15号线,开启
1546,祁安路,15号线,开启
1547,南大路,15号线,开启
1548,丰翔路,15号线,开启
1549,锦秋路,15号线,开启
1550,顾村公园,15号线,开启
1621,龙阳路,16号线,开启
1622,华夏中路,16号线,开启
1623,罗山路,16号线,开启
1624,周浦东,16号线,开启
1625,鹤沙航城,16号线,开启
1626,航头东,16号线,开启
1627,新场,16号线,开启
1628,野生动物园,16号线,开启
1629,惠南,16号线,开启
1630,惠南东,16号线,开启
1631,书院,16号线,开启
1632,临港大道,16号线,开启
1633,滴水湖,16号线,开启
1721,虹桥火车站,17号线,开启
1722,国家会展中心,17号线,开启
1723,蟠龙路,17号线,开启
1724,徐盈路,17号线,开启
1725,徐泾北城,17号线,开启
1726,嘉松中路,17号线,开启
1727,赵巷,17号线,开启
1728,汇金路,17号线,开启
1729,青浦新城,17号线,开启
1730,漕盈路,17号线,开启
1731,淀山湖大道,17号线,开启
1732,朱家角,17号线,开启
1733,东方绿舟,17号线,开启
1734,西岑,17号线,开启
1821,航头,18号线,开启
1822,下沙,18号线,开启
1823,鹤涛路,18号线,开启
1824,沈梅路,18号线,开启
1825,繁荣路,18号线,开启
1826,周浦,18号线,开启
1827,康桥,18号线,开启
1828,御桥,18号线,开启
1829,莲溪路,18号线,开启
1830,北中路,18号线,开启
1831,芳芯路,18号线,开启
1832,龙阳路,18号线,开启
1833,迎春路,18号线,开启
1834,杨高中路,18号线,开启
1835,民生路,18号线,开启
1836,昌邑路,18号线,开启
1837,丹阳路,18号线,开启
1838,平凉路,18号线,开启
1839,江浦公园,18号线,开启
1840,江浦路,18号线,开启
1841,抚顺路,18号线,开启
1842,国权路,18号线,开启
1843,复旦大学,18号线,开启
1844,上海财经大学,18号线,开启
1845,殷高路,18号线,开启
1846,长江南路,18号线,开启
4101,沈杜公路,浦江线,开启
4102,三鲁公路,浦江线,开启
4103,闵瑞路,浦江线,开启
4104,浦航路,浦江线,开启
4105,东城一路,浦江线,开启
4106,汇臻路,浦江线,开启
5131,虹桥2号航站楼,市域机场线,开启
5132,中春路,市域机场线,开启
5133,景洪路,市域机场线,开启
5134,三林南,市域机场线,开启
5135,康桥东,市域机场线,开启
5136,上海国际旅游度假区,市域机场线,开启
5137,浦东1号2号航站楼,市域机场线,开启
